150,300,LYIVAH,BRASIL,20
60,115,JDKJKO,USA,15
510.6666666666667,125.0,SFTRZQ,CHINA,30
650.6666666666666,327.0,HOJSPP,AUSTRALIA,25
120.66666666666666,350.3333333333333,THGMUIO,ARGENTINA,20
380.6666666666667,100.66666666666666,QMXIGZ,TURQUÍA,20
270.0,105.0,YVFKPT,FRANCIA,15
260.0,123.33333333333334,NBZPVN,ESPAÑA,20
287.3333333333333,112.33333333333334,ZVCWFK,ITALIA,20
96.0,237.33333333333331,TNFGAY,COLOMBIA,50
92.0,278.0,AWRNSR,PERÚ,10
280.3333333333333,218.66666666666669,MRDTTW,NIGERIA,20
42.333333333333336,170.33333333333331,QZUQLO,MÉXICO,25
385.3333333333333,185.66666666666666,VSTOKQ,EGIPTO,30
